index,title,sapo,category
1,Chiêm ngưỡng loạt đồ lưu niệm được bán trong Bảo tàng Nintendo khiến mọi game thủ ước ao,"Dạo một vòng quanh cửa hàng đồ chơi lưu niệm của bảo tàng Nintendo, game thủ nhìn món gì cũng sẽ muốn mua.",Apps/Games
2,Ngự Kiếm Sinh Tồn: Chơi game quét quái tu tiên cứ ngỡ lạc vào tiểu thuyết tiên hiệp,"Ngự Kiếm Sinh Tồn đã chính thức ra mắt phiên bản open beta từ hôm nay! Trò chơi hiện đã có sẵn trên App Store và Google Play, người chơi có thể tải xuống và trải nghiệm ngay tựa game tu tiên độc đáo này!",Apps/Games
3,"""Huyền thoại"" Winamp công bố mã nguồn mở",Người dùng có thể nghiên cứu và cải tiến mã nguồn của Winamp từ ngày hôm nay.,Apps/Games
4,"Kaspersky tự ý cài phần mềm diệt virus ""vô danh"" vào PC khiến người dùng phẫn nộ",Hiện những thay đổi này có vẻ như chỉ áp dụng đối với người dùng Kaspersky tại Mỹ.,Apps/Games
5,"Xuất hiện game thủ Black Myth: Wukong quá ""hardcore"", đạt cấp độ tối đa, hoàn thành 100% nội dung và thành tựu",Thành tích của anh chàng game thủ này đang khiến cộng đồng Black Myth: Wukong rất nể phục.,Apps/Games
6,"Tính năng mới của Facebook khiến cộng đồng lo ngại: Fake news, ""ném đá giấu tay"" liệu có lộng hành?",Tình trạng thật – giả lẫn lộn trên Facebook được ví là môi trường mà các đối tượng “ném đá giấu tay” hay lợi dụng để thực hiện các hành vi xấu.,Apps/Games
7,"Sau khi ""đoạn tuyệt"" Android, Huawei xác nhận sắp ra mắt hệ điều hành thay thế Windows",Quan chức cấp cao của Huawei còn cho biết lô laptop hiện tại có thể là dòng máy cuối cùng sử dụng Windows.,Apps/Games
8,"Trong lúc chờ Apple Intelligence, đây là tính năng tôi thấy thích thú nhất từ ngày lên iOS 18",iOS 18 mang đến nhiều thay đổi đáng chú ý và iPhone Mirroring chính là tính năng mà bất kỳ người dùng nào cũng nên thử qua.,Mobile
9,"""Ngồi rung đùi"" vẫn kiếm 1 tỷ mỗi ngày, đâu là lý do thực sự khiến Nguyễn Hà Đông xóa Flappy Bird khi đang ở đỉnh cao?","Flappy Bird gây sốt toàn cầu, thu hút hơn 50 triệu lượt tải, mỗi ngày thu 1 tỷ đồng từ tiền quảng cáo nhưng Nguyễn Hà Đông đã xóa đi ứng dụng trò chơi này.",Apps/Games
10,"10 năm từ ngày Flappy Bird gây bão thế giới: Hút hơn 50 triệu lượt tải, mỗi ngày thu 1 tỷ đồng, đưa lập trình viên người Việt vào kỷ lục Guinness!","Theo nhận xét của nhiều chuyên gia, có thể coi Flappy Bird của Nguyễn Hà Đông là niềm tự hào của ngành ứng dụng Việt Nam xét trên cả phương diện thành công về lượt tải hay mức doanh thu.",Apps/Games
